Student_ID,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10
Student_001,1,0,1,1,0,1,1,0,1,0
Student_002,1,1,1,0,1,1,0,1,1,1
Student_003,0,1,1,1,1,0,1,1,0,1
Student_004,1,1,0,1,1,1,1,0,1,1
Student_005,0,0,1,0,1,1,0,1,0,0
Student_006,1,1,1,1,0,1,1,1,1,1
Student_007,1,0,0,1,1,0,1,0,1,0
Student_008,0,1,1,1,1,1,0,1,0,1
Student_009,1,1,1,0,0,1,1,1,1,0
Student_010,1,0,1,1,1,0,1,0,0,1
Student_011,0,1,0,1,0,1,0,1,1,1
Student_012,1,1,1,1,1,1,1,1,1,0
Student_013,0,0,0,0,1,0,0,1,0,1
Student_014,1,1,1,1,0,1,1,1,1,1
Student_015,1,0,1,0,1,1,0,0,1,0